Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
Estoy pegado,I'm stuck (can't leave),[sound:Estoy_pegado_670c53ec.mp3],"Colombian slang for stuck | Example: ""Estoy pegado en la oficina, no puedo salir"" = I'm stuck at the office, I can't leave",,,basic,daily stuck,2
Estoy por ahí,I'm around,[sound:Estoy_por_ahí_da650131.mp3],"Vague location | Example: ""Dónde estás? - Estoy por ahí cerca"" = Where are you? - I'm around nearby",,,basic,daily location,2
Estoy saliendo,I'm heading out,[sound:Estoy_saliendo_95bb62fc.mp3],"Leaving now | Example: ""Ya estoy saliendo, llego en 20 minutos"" = I'm heading out now, I'll arrive in 20 minutes",,,basic,daily leaving,2
Estoy saliendo de casa,I'm leaving home,[sound:Estoy_saliendo_de_casa_c9a67305.mp3],"Just leaving | Example: ""Estoy saliendo de casa ahorita"" = I'm leaving home right now",,,basic,daily location,2
Estoy trabajando,I'm working,[sound:Estoy_trabajando_189e747a.mp3],"Work in progress | Example: ""No me molestes, estoy trabajando"" = Don't bother me, I'm working",,,basic,daily work,2
Estoy trasnochada,I stayed up late (female),[sound:Estoy_trasnochada_a825efbd.mp3],"Colombian for sleep-deprived | Example: ""Estoy trasnochada porque me quedé estudiando"" = I stayed up late because I was studying",,,basic,daily tired,2
Estoy trasnochado,I stayed up late (male),[sound:Estoy_trasnochado_ea63a85e.mp3],"Colombian for sleep-deprived | Example: ""Estoy trasnochado, me acosté a las 4 am"" = I stayed up late, I went to bed at 4 am",,,basic,daily tired,2
Hasta luego un abrazo,"See you later, a hug",[sound:Hasta_luego_un_abrazo_ba72f1b0.mp3],"Warm affectionate goodbye | Common in Colombian texting | Example: ""Me tengo que ir, hasta luego un abrazo!"" = I have to go, see you later, a hug!",,,basic,daily,2
Hay mucho trancón,There's heavy traffic,[sound:Hay_mucho_trancón_4b70763a.mp3],"Colombian word for traffic jam | Example: ""No salgas ahora, hay mucho trancón en la Caracas"" = Don't go out now, there's heavy traffic on Caracas Avenue",,,basic,daily traffic,2
Listo entonces,Ok then,[sound:Listo_entonces_90e66fd6.mp3],"Confirming plans | Example: ""Nos vemos a las 7? - Listo entonces"" = See you at 7? - Ok then",,,basic,daily plans,2
"Llegué al hotel, todo bien","I arrived at the hotel, all good",[sound:Llegué_al_hotel_todo_bien_90fbf5c1.mp3],"Safe arrival message | 'Todo bien' = everything's okay | Example: ""Mamá, llegué al hotel todo bien, no te preocupes"" = Mom, I arrived at the hotel all good, don't worry",,,basic,daily,2
Me acabo de bañar,I just showered,[sound:Me_acabo_de_bañar_54195131.mp3],"Fresh from shower | Example: ""Dame 10 minutos, me acabo de bañar"" = Give me 10 minutes, I just showered",,,basic,daily hygiene,2
Me acabo de despertar,I just woke up,[sound:Me_acabo_de_despertar_cb9f33e2.mp3],"Morning update | Example: ""Perdón, me acabo de despertar"" = Sorry, I just woke up",,,basic,daily sleeping,2
Me acosté tarde,I went to bed late,[sound:Me_acosté_tarde_f3fdd720.mp3],"Reason for tiredness | Example: ""Estoy cansado porque me acosté tarde"" = I'm tired because I went to bed late",,,basic,daily sleeping,2
Me da pereza levantarme,I'm too lazy to get up,[sound:Me_da_pereza_levantarme_994704e4.mp3],"Colombian 'pereza' = laziness | Example: ""Me da pereza levantarme cuando hace frío"" = I'm too lazy to get up when it's cold",,,basic,daily sleeping lazy,2
Me demoré,I got delayed,[sound:Me_demoré_df3e81d6.mp3],"Explaining lateness | Example: ""Perdón, me demoré en el tráfico"" = Sorry, I got delayed in traffic",,,basic,daily late,2
Me estoy alistando,I'm getting ready,[sound:Me_estoy_alistando_c2e6dd8d.mp3],"Colombian for preparing | Example: ""Ya casi salgo, me estoy alistando"" = I'm leaving soon, I'm getting ready",,,basic,daily getting_ready,2
Me estoy arreglando,I'm getting dressed/ready,[sound:Me_estoy_arreglando_3037113d.mp3],"Getting ready | Example: ""Me estoy arreglando, llego en media hora"" = I'm getting ready, I'll arrive in half an hour",,,basic,daily getting_ready,2
Me estoy bañando,I'm showering,[sound:Me_estoy_bañando_ed3c7cd5.mp3],"In the shower | Example: ""No puedo contestar, me estoy bañando"" = I can't answer, I'm showering",,,basic,daily hygiene,2
Me gusta cómo me miras,I like the way you look at me,[sound:Me_gusta_cómo_me_miras_b1f221ff.mp3],"Romantic/flirty | Expressing attraction | Example: ""Me gusta cómo me miras cuando sonrío"" = I like the way you look at me when I smile",,,basic,daily,2
Me gusta cómo somos juntos,I like how we are together,[sound:Me_gusta_cómo_somos_juntos_f3623bea.mp3],"Relationship appreciation | Example: ""Me gusta cómo somos juntos, somos un buen equipo"" = I like how we are together, we're a good team",,,basic,daily,2
Me gustas mucho,I really like you,[sound:Me_gustas_mucho_4df79657.mp3],"Romantic interest | Example: ""Quiero que sepas que me gustas mucho"" = I want you to know that I really like you",,,basic,daily,2
Me gustas más que un día festivo con puente,I like you more than a long weekend,[sound:Me_gustas_más_que_un_día_festivo_con_pue_22b89c8a.mp3],"Colombian romantic humor | 'Puente' = bridge (extra day off) | Example: ""Me gustas más que un día festivo con puente - y eso es mucho decir!"" = I like you more than a long weekend - and that's saying a lot!",,,basic,daily,2
Me gustas para algo serio,I like you for something serious,[sound:Me_gustas_para_algo_serio_b8df84fe.mp3],"Serious romantic intentions | Example: ""Me gustas para algo serio, no solo para salir"" = I like you for something serious, not just to date casually",,,basic,daily,2
Me muero de hambre,I'm starving,[sound:Me_muero_de_hambre_d0ad2147.mp3],"Very hungry | Example: ""Vamos a comer ya, me muero de hambre"" = Let's eat now, I'm starving",,,basic,daily eating,2
Me quedé dormida,I overslept (female),[sound:Me_quedé_dormida_e36c5cc8.mp3],"Sleeping past alarm | Example: ""Perdón, me quedé dormida"" = Sorry, I overslept",,,basic,daily sleeping,2
Me quedé dormido,I overslept (male),[sound:Me_quedé_dormido_d962dd62.mp3],"Sleeping past alarm | Example: ""Me quedé dormido y no escuché el despertador"" = I overslept and didn't hear the alarm",,,basic,daily sleeping,2
Mejor mañana,Better tomorrow,[sound:Mejor_mañana_892a8927.mp3],"Postponing plans | Example: ""Estoy muy cansado, mejor mañana"" = I'm very tired, better tomorrow",,,basic,daily plans,2
No estoy en casa,I'm not home,[sound:No_estoy_en_casa_36c532c2.mp3],"Location update | Example: ""No estoy en casa, estoy en el trabajo"" = I'm not home, I'm at work",,,basic,daily location,2
No he dormido bien,I haven't slept well,[sound:No_he_dormido_bien_1e7c69bf.mp3],"Poor sleep quality | Example: ""Estoy cansado, no he dormido bien"" = I'm tired, I haven't slept well",,,basic,daily sleeping,2
No me puedo mover,I can't move/leave,[sound:No_me_puedo_mover_afdab1d3.mp3],"Stuck somewhere | Example: ""No me puedo mover de la oficina todavía"" = I can't leave the office yet",,,basic,daily stuck,2
No me quiero levantar,I don't want to get up,[sound:No_me_quiero_levantar_be59bf2b.mp3],"Morning reluctance | Example: ""Hace frío, no me quiero levantar"" = It's cold, I don't want to get up",,,basic,daily sleeping,2
No sonó la alarma,The alarm didn't go off,[sound:No_sonó_la_alarma_ac696fe0.mp3],"Excuse for being late | Example: ""Perdón, no sonó la alarma"" = Sorry, the alarm didn't go off",,,basic,daily sleeping,2
Nos vemos aquí o allá,Should we meet here or there?,[sound:Nos_vemos_aquí_o_allá_9364ba9c.mp3],"Planning meetup | 'Acá' is more common in Colombia than 'aquí' | Example: ""Nos vemos aquí o allá en tu casa?"" = Should we meet here or there at your place?",,,basic,daily,2
"Nos vemos mañana, cuídate mucho","See you tomorrow, take care",[sound:Nos_vemos_mañana_cuídate_mucho_f8f9d472.mp3],"Caring goodbye | Example: ""Nos vemos mañana, cuídate mucho, está lloviendo"" = See you tomorrow, take care, it's raining",,,basic,daily,2
Perdón la demora,Sorry for the delay,[sound:Perdón_la_demora_e65cbb42.mp3],"Apologizing for being late | Example: ""Perdón la demora, había mucho tráfico"" = Sorry for the delay, there was a lot of traffic",,,basic,daily late,2
"Quiubo, todo bien?","What's up, all good?",[sound:Quiubo_todo_bien_175bf13b.mp3],"Super informal Colombian greeting | 'Quiubo' = qué hubo | Example: ""Quiubo parcero, todo bien?"" = What's up buddy, all good?",,,basic,daily,2
Qué pereza levantarse,What a drag to get up,[sound:Qué_pereza_levantarse_1038c9da.mp3],"Colombian complaint about getting up | Example: ""Qué pereza levantarse un lunes"" = What a drag to get up on Monday",,,basic,daily sleeping lazy,2
Salgo del trabajo a las seis,I get off work at six,[sound:Salgo_del_trabajo_a_las_seis_6a526c74.mp3],"Work schedule | Example: ""Salgo del trabajo a las seis, nos vemos después"" = I get off work at six, see you after",,,basic,daily work,2
Se me hizo tarde,I'm running late,[sound:Se_me_hizo_tarde_9924bd51.mp3],"Time got away | Example: ""Perdón, se me hizo tarde"" = Sorry, I'm running late",,,basic,daily late,2
Se me pegaron las cobijas,The blankets stuck to me (overslept),[sound:Se_me_pegaron_las_cobijas_f90a2599.mp3],"Colombian idiom for oversleeping | Example: ""Se me pegaron las cobijas y llegué tarde"" = I overslept and arrived late",,,basic,daily sleeping,2
Te escribo cuando salga,I'll text you when I leave,[sound:Te_escribo_cuando_salga_9a3fd868.mp3],"Promise to update | Example: ""Te escribo cuando salga del trabajo"" = I'll text you when I leave work",,,basic,daily plans,2
Te estoy esperando,I'm waiting for you,[sound:Te_estoy_esperando_cc29e906.mp3],"Already there | Example: ""Te estoy esperando en la entrada"" = I'm waiting for you at the entrance",,,basic,daily waiting,2
Te recojo o nos vemos allá,Should I pick you up or meet there?,[sound:Te_recojo_o_nos_vemos_allá_bf0a37c7.mp3],"Plan coordination question | Example: ""Para la fiesta, te recojo o nos vemos allá?"" = For the party, should I pick you up or meet there?",,,basic,daily,2
Tengo hambre,I'm hungry,[sound:Tengo_hambre_eff04da6.mp3],"Ready to eat | Example: ""Tengo hambre, vamos a comer algo"" = I'm hungry, let's eat something",,,basic,daily eating,2
Tengo mucho que hacer,I have a lot to do,[sound:Tengo_mucho_que_hacer_c0e23551.mp3],"Busy day | Example: ""No puedo salir, tengo mucho que hacer"" = I can't go out, I have a lot to do",,,basic,daily busy,2
Tengo que estudiar,I have to study,[sound:Tengo_que_estudiar_0b413a4f.mp3],"Student obligation | Example: ""No salgo esta noche, tengo que estudiar"" = I'm not going out tonight, I have to study",,,basic,daily studying,2
Tengo sueño,I'm sleepy,[sound:Tengo_sueño_3281efbe.mp3],"Feeling tired | Example: ""Ya me voy a dormir, tengo sueño"" = I'm going to sleep now, I'm sleepy",,,basic,daily sleeping,2
Todo bien o qué,All good or what?,[sound:Todo_bien_o_qué_6a409d78.mp3],"Checking in casually | 'Tranqui' response common | Example: ""No has escrito en días, todo bien o qué?"" = You haven't written in days, all good or what?",,,basic,daily,2
Todo bien por acá,All good over here,[sound:Todo_bien_por_acá_1cd0439b.mp3],"Location-specific update | 'Aquí' vs 'acá' | Example: ""Y ustedes qué? Todo bien por acá"" = And you guys what's up? All good over here",,,basic,daily,2
Todo bien por allá,All good over there?,[sound:Todo_bien_por_allá_6f5cfc07.mp3],"Asking about their location | 'Tranqui' culture | Example: ""Todo bien por allá en Medellín?"" = All good over there in Medellín?",,,basic,daily,2
"Todo bien, todo bien","All good, all good",[sound:Todo_bien_todo_bien_a031c1ec.mp3],"Reassuring repetition | 'Tranqui' vibe | Example: ""Estás segura? - Todo bien, todo bien, no te preocupes"" = Are you sure? - All good, all good, don't worry",,,basic,daily,2
"Todo bien, tranquila","All good, chill (to female)",[sound:Todo_bien_tranquila_71cbf918.mp3],"Calming response | 'Todo bien' culture | Example: ""Perdón por llegar tarde - Todo bien, tranquila"" = Sorry for being late - All good, chill",,,basic,daily,2
"Tranqui, todo bien","Chill, all good",[sound:Tranqui_todo_bien_027d8f18.mp3],"Quintessential Colombian reassurance | Example: ""Perdón la demora - Tranqui, todo bien"" = Sorry for the delay - Chill, all good",,,basic,daily,2
Voy a bañarme,I'm going to shower,[sound:Voy_a_bañarme_63429ae5.mp3],"About to shower | Example: ""Espérame, voy a bañarme rapidito"" = Wait for me, I'm going to shower quickly",,,basic,daily hygiene,2
Voy a comer,I'm going to eat,[sound:Voy_a_comer_188cee10.mp3],"About to eat | Example: ""Te llamo después, voy a comer"" = I'll call you later, I'm going to eat",,,basic,daily eating,2
Voy en camino,I'm on the way,[sound:Voy_en_camino_a95313bb.mp3],"In transit | Example: ""Voy en camino, llego en 10 minutos"" = I'm on the way, I'll arrive in 10 minutes",,,basic,daily transit,2
Voy para tu casa,I'm heading to your place,[sound:Voy_para_tu_casa_a4c6a7e5.mp3],"Direction update | Example: ""Ya salí, voy para tu casa"" = I already left, I'm heading to your place",,,basic,daily location,2
Voy tarde,I'm late,[sound:Voy_tarde_ec9423ce.mp3],"Running late | Example: ""Voy tarde, disculpa"" = I'm late, sorry",,,basic,daily late,2
Ya casi estoy lista,I'm almost ready (female),[sound:Ya_casi_estoy_lista_6984088c.mp3],"Almost done getting ready | Example: ""Ya casi estoy lista, dame 5 minutos"" = I'm almost ready, give me 5 minutes",,,basic,daily getting_ready,2
Ya casi estoy listo,I'm almost ready (male),[sound:Ya_casi_estoy_listo_93f8d38b.mp3],"Almost done getting ready | Example: ""Ya casi estoy listo, ya salgo"" = I'm almost ready, I'm leaving soon",,,basic,daily getting_ready,2
Ya comí,I already ate,[sound:Ya_comí_ff95b180.mp3],"Declining food offer | Example: ""Quieres comer algo? - No gracias, ya comí"" = Want to eat something? - No thanks, I already ate",,,basic,daily eating,2
Ya llegué a casa,I just got home,[sound:Ya_llegué_a_casa_1956c293.mp3],"Safe arrival message | Example: ""Ya llegué a casa, todo bien"" = I just got home, all good",,,basic,daily location,2
Ya salgo,I'm leaving now,[sound:Ya_salgo_7b201d5a.mp3],"About to leave | Example: ""Ya salgo de la oficina"" = I'm leaving the office now",,,basic,daily leaving,2
Ya salí del trabajo,I just left work,[sound:Ya_salí_del_trabajo_39342f26.mp3],"Work done | Example: ""Ya salí del trabajo, dónde nos vemos?"" = I just left work, where shall we meet?",,,basic,daily work,2
Ya voy para allá,I'm on my way there,[sound:Ya_voy_para_allá_91fa5b8e.mp3],"In transit | Example: ""Ya voy para allá, llego en 15"" = I'm on my way there, I'll arrive in 15",,,basic,daily transit,2
¿A qué hora nos vemos?,What time shall we meet?,[sound:A_qué_hora_nos_vemos_c15bcf87.mp3],"Planning time | Example: ""Mañana salimos, ¿a qué hora nos vemos?"" = We're going out tomorrow, what time shall we meet?",,,basic,daily plans,2
¿Cuánto te demoras?,How long will you take?,[sound:Cuánto_te_demoras_834a2b1c.mp3],"Asking for ETA | Example: ""Ya estoy aquí, ¿cuánto te demoras?"" = I'm already here, how long will you take?",,,basic,daily waiting,2
¿Dónde estás?,Where are you?,[sound:Dónde_estás_8e9e13ad.mp3],"Location check | Example: ""Ya llegué, ¿dónde estás?"" = I arrived, where are you?",,,basic,daily waiting,2
¿Dónde nos vemos?,Where shall we meet?,[sound:Dónde_nos_vemos_11d9657b.mp3],"Planning location | Example: ""Salimos mañana, ¿dónde nos vemos?"" = We're going out tomorrow, where shall we meet?",,,basic,daily plans,2
¿Estás libre?,Are you free?,[sound:Estás_libre_d191c638.mp3],"Checking availability | Example: ""¿Estás libre esta tarde?"" = Are you free this afternoon?",,,basic,daily plans,2
¿Nos vemos hoy?,Shall we meet today?,[sound:Nos_vemos_hoy_9206c7d1.mp3],"Same day plans | Example: ""¿Nos vemos hoy o mejor mañana?"" = Shall we meet today or better tomorrow?",,,basic,daily plans,2
¿Puedes hoy?,Can you today?,[sound:Puedes_hoy_0d166b9c.mp3],"Quick availability check | Example: ""¿Puedes hoy a las 7?"" = Can you today at 7?",,,basic,daily plans,2
¿Qué vas a hacer hoy?,What are you doing today?,[sound:Qué_vas_a_hacer_hoy_2929e1c2.mp3],"Daily plans inquiry | Example: ""¿Qué vas a hacer hoy? ¿Salimos?"" = What are you doing today? Shall we go out?",,,basic,daily plans,2
¿Te parece si nos vemos a las siete?,How about we meet at seven?,[sound:Te_parece_si_nos_vemos_a_las_siete_2596c79d.mp3],"Suggesting time | Example: ""¿Te parece si nos vemos a las siete en el café?"" = How about we meet at seven at the café?",,,basic,daily plans,2
¿Tienes planes hoy?,Do you have plans today?,[sound:Tienes_planes_hoy_38ae4ed1.mp3],"Checking availability | Example: ""¿Tienes planes hoy o estás libre?"" = Do you have plans today or are you free?",,,basic,daily plans,2
¿Ya comiste?,Did you eat already?,[sound:Ya_comiste_ae324679.mp3],"Checking if eaten | Example: ""¿Ya comiste o pedimos algo?"" = Did you eat already or shall we order something?",,,basic,daily eating,2
¿Ya vienes?,Are you coming?,[sound:Ya_vienes_2211f3e0.mp3],"Asking if on the way | Example: ""Ya estoy aquí, ¿ya vienes?"" = I'm already here, are you coming?",,,basic,daily waiting,2
